iter	Passed	Remaining
0	1	171
1	3	161
2	5	162
3	6	153
4	8	155
5	9	155
6	11	156
7	13	154
8	15	152
9	16	150
10	18	149
11	20	148
12	21	145
13	23	141
14	24	138
15	25	135
16	27	132
17	28	129
18	29	125
19	30	122
20	31	119
21	32	116
22	34	114
23	35	111
24	36	108
25	37	105
26	38	102
27	39	100
28	40	97
29	40	95
30	41	93
31	42	90
32	43	88
33	44	86
34	45	84
35	46	82
36	47	80
37	48	78
38	49	77
39	50	75
40	51	73
41	51	71
42	52	69
43	53	67
44	54	66
45	55	64
46	56	63
47	57	62
48	58	60
49	59	59
50	60	57
51	61	56
52	62	55
53	63	53
54	63	52
55	64	50
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	70	43
62	71	41
63	71	40
64	72	39
65	73	38
66	74	36
67	75	35
68	76	34
69	77	33
70	78	31
71	79	30
72	80	29
73	80	28
74	81	27
75	82	26
76	83	25
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	90	16
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	102	2
98	103	1
99	104	0
